epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.3218,1.91804,2.91858,1.68087,0.16782,0.0815,0.05979,0.04193,1.75705,2.48889,1.61248,0.0670484,1.54778e-05,1.54778e-05
2,93.4971,1.64865,2.332,1.52945,0.45262,0.10562,0.10694,0.07437,1.58199,2.15055,1.56322,0.0337306,3.09604e-05,3.09604e-05
3,139.791,1.57676,2.18542,1.47708,0.42498,0.12029,0.10867,0.07344,1.57667,2.07729,1.53246,0.000412575,4.6275e-05,4.6275e-05
4,278.514,1.5501,2.10476,1.47174,0.45999,0.13541,0.12844,0.09524,1.53173,2.05109,1.49823,4.61931e-05,4.61931e-05,4.61931e-05
5,324.781,1.52093,2.05664,1.44882,0.49757,0.12897,0.12851,0.09608,1.48651,2.00458,1.48911,4.5941e-05,4.5941e-05,4.5941e-05
6,370.549,1.46706,1.98611,1.41495,0.48803,0.13,0.13633,0.10531,1.47416,1.96489,1.48149,4.5689e-05,4.5689e-05,4.5689e-05
7,416.883,1.42126,1.92193,1.39706,0.4842,0.1354,0.13775,0.10557,1.45604,1.93924,1.4664,4.54369e-05,4.54369e-05,4.54369e-05
8,497.194,1.38436,1.85517,1.36124,0.66136,0.12884,0.14349,0.10863,1.44524,1.91666,1.45,4.51849e-05,4.51849e-05,4.51849e-05
9,543.443,1.45955,1.91615,1.42285,0.51111,0.1341,0.14914,0.11755,1.42679,1.90232,1.46561,4.49328e-05,4.49328e-05,4.49328e-05
10,589.512,1.37015,1.79995,1.3582,0.59199,0.12741,0.15391,0.12021,1.38668,1.85321,1.42693,4.46808e-05,4.46808e-05,4.46808e-05
11,635.359,1.40094,1.79526,1.37845,0.35317,0.16787,0.15341,0.11913,1.42859,1.84623,1.45737,4.44287e-05,4.44287e-05,4.44287e-05
12,681.052,1.36797,1.74215,1.34726,0.44144,0.15352,0.16182,0.12454,1.4181,1.81021,1.44024,4.41767e-05,4.41767e-05,4.41767e-05
13,727.038,1.34113,1.71586,1.32986,0.34935,0.14237,0.1613,0.12308,1.39292,1.81528,1.4296,4.39247e-05,4.39247e-05,4.39247e-05
14,772.071,1.36392,1.70331,1.35026,0.53456,0.14062,0.15624,0.12071,1.40342,1.80932,1.42925,4.36726e-05,4.36726e-05,4.36726e-05
15,849.332,1.3262,1.66832,1.32639,0.43605,0.15683,0.17072,0.13166,1.41391,1.8268,1.44065,4.34206e-05,4.34206e-05,4.34206e-05
16,895.669,1.35457,1.65975,1.35181,0.55745,0.14296,0.16313,0.12644,1.38445,1.82309,1.44063,4.31685e-05,4.31685e-05,4.31685e-05
17,940.722,1.31533,1.62927,1.31359,0.52864,0.16357,0.17009,0.13287,1.36467,1.7404,1.41624,4.29165e-05,4.29165e-05,4.29165e-05
18,986.359,1.29025,1.58775,1.31277,0.57995,0.15063,0.17343,0.13632,1.34119,1.72116,1.41242,4.26644e-05,4.26644e-05,4.26644e-05
19,1075.8,1.27185,1.52399,1.28859,0.52325,0.17267,0.1776,0.1371,1.34634,1.70417,1.40102,4.24124e-05,4.24124e-05,4.24124e-05
20,1121.71,1.24788,1.51053,1.28509,0.44136,0.17091,0.18461,0.14123,1.35281,1.68403,1.40716,4.21603e-05,4.21603e-05,4.21603e-05
21,1167.57,1.28832,1.54567,1.3037,0.60976,0.17217,0.19432,0.14805,1.33728,1.66675,1.40542,4.19083e-05,4.19083e-05,4.19083e-05
22,1250.52,1.25561,1.49302,1.28403,0.63709,0.16619,0.18029,0.14112,1.33038,1.71278,1.38883,4.16562e-05,4.16562e-05,4.16562e-05
23,1295.76,1.23422,1.45454,1.29795,0.55995,0.17596,0.18728,0.14521,1.33899,1.68473,1.40588,4.14042e-05,4.14042e-05,4.14042e-05
24,1341.58,1.24618,1.43397,1.29088,0.54555,0.16512,0.18155,0.14028,1.35673,1.69144,1.40057,4.11521e-05,4.11521e-05,4.11521e-05
25,1420.79,1.22234,1.40137,1.26341,0.5642,0.18589,0.19614,0.15143,1.32396,1.66617,1.38939,4.09001e-05,4.09001e-05,4.09001e-05
26,1606.6,1.19252,1.36223,1.24894,0.68444,0.18364,0.18943,0.15096,1.33182,1.65214,1.40119,4.0648e-05,4.0648e-05,4.0648e-05
27,1726.28,1.15333,1.32098,1.22338,0.689,0.17272,0.19326,0.15305,1.29118,1.62718,1.37373,4.0396e-05,4.0396e-05,4.0396e-05
28,1889.32,1.14673,1.28525,1.23015,0.55637,0.19547,0.19768,0.15661,1.28333,1.57896,1.37098,4.0144e-05,4.0144e-05,4.0144e-05
29,2123.96,1.21511,1.3534,1.26811,0.60262,0.17715,0.19998,0.16069,1.269,1.58648,1.35073,3.98919e-05,3.98919e-05,3.98919e-05
30,2169.87,1.18867,1.31439,1.24317,0.72942,0.19284,0.21077,0.16697,1.28491,1.57263,1.36139,3.96399e-05,3.96399e-05,3.96399e-05
31,2248.03,1.14838,1.26142,1.22313,0.4835,0.19069,0.19543,0.15664,1.27704,1.58591,1.35788,3.93878e-05,3.93878e-05,3.93878e-05
32,2293.22,1.14524,1.26753,1.21798,0.63282,0.16583,0.20353,0.16049,1.29438,1.6071,1.3729,3.91358e-05,3.91358e-05,3.91358e-05
33,2562.89,1.13031,1.2072,1.21115,0.61914,0.17262,0.20238,0.16125,1.26992,1.58158,1.34975,3.88837e-05,3.88837e-05,3.88837e-05
34,2608.12,1.11392,1.21897,1.20847,0.54744,0.20477,0.20518,0.16371,1.25957,1.53332,1.34903,3.86317e-05,3.86317e-05,3.86317e-05
35,2689.34,1.09174,1.20442,1.19276,0.58084,0.1807,0.20368,0.1646,1.27045,1.52904,1.35471,3.83796e-05,3.83796e-05,3.83796e-05
36,2834.9,1.09391,1.1758,1.1917,0.6404,0.20265,0.21404,0.16729,1.26926,1.53854,1.34309,3.81276e-05,3.81276e-05,3.81276e-05
37,2881.04,1.12233,1.20872,1.22209,0.69092,0.20439,0.21711,0.17022,1.25705,1.5692,1.35898,3.78755e-05,3.78755e-05,3.78755e-05
38,3001.76,1.1289,1.19154,1.21044,0.57203,0.19959,0.20705,0.16414,1.25502,1.53073,1.3518,3.76235e-05,3.76235e-05,3.76235e-05
39,3046.72,1.10145,1.18452,1.19923,0.76611,0.18781,0.21476,0.17058,1.25199,1.53846,1.3429,3.73714e-05,3.73714e-05,3.73714e-05
40,3127.72,1.09962,1.14293,1.19323,0.56407,0.21085,0.2196,0.17043,1.24209,1.50351,1.34057,3.71194e-05,3.71194e-05,3.71194e-05
41,3240.64,1.04001,1.09372,1.16323,0.58032,0.21002,0.22531,0.18,1.2593,1.48302,1.34712,3.68673e-05,3.68673e-05,3.68673e-05
42,3286.71,1.06611,1.11178,1.17669,0.59649,0.20576,0.23044,0.18162,1.25974,1.50137,1.34132,3.66153e-05,3.66153e-05,3.66153e-05
43,3333,1.04586,1.07533,1.16143,0.7086,0.21228,0.22671,0.1738,1.25112,1.51155,1.35874,3.63632e-05,3.63632e-05,3.63632e-05
44,3569.6,1.03838,1.06112,1.16321,0.69906,0.20998,0.22705,0.17929,1.23527,1.47033,1.33251,3.61112e-05,3.61112e-05,3.61112e-05
45,3614.66,0.9977,1.02387,1.1363,0.61075,0.20357,0.2285,0.1796,1.2311,1.47374,1.3331,3.58592e-05,3.58592e-05,3.58592e-05
46,3694.98,1.05604,1.07085,1.1653,0.56035,0.20104,0.22407,0.17859,1.22278,1.48582,1.3262,3.56071e-05,3.56071e-05,3.56071e-05
47,3740.23,1.04015,1.05412,1.16096,0.42457,0.21451,0.21976,0.17648,1.21561,1.51205,1.31079,3.53551e-05,3.53551e-05,3.53551e-05
48,3862.4,1.00226,0.99593,1.1316,0.75531,0.19933,0.22775,0.179,1.2158,1.48266,1.3195,3.5103e-05,3.5103e-05,3.5103e-05
49,3978.19,1.01024,1.01,1.14522,0.60552,0.19913,0.22235,0.17343,1.23501,1.51872,1.31888,3.4851e-05,3.4851e-05,3.4851e-05
50,4091.56,1.02896,1.01433,1.16501,0.33954,0.21343,0.22316,0.17933,1.21607,1.4724,1.33176,3.45989e-05,3.45989e-05,3.45989e-05
51,4175.55,0.99217,0.97137,1.12906,0.60245,0.19419,0.22701,0.17898,1.23485,1.48239,1.32957,3.43469e-05,3.43469e-05,3.43469e-05
52,4220.89,0.98446,0.97488,1.14161,0.6448,0.21499,0.23113,0.18235,1.23016,1.49203,1.31593,3.40948e-05,3.40948e-05,3.40948e-05
53,4267.04,0.9906,0.97896,1.12618,0.608,0.20895,0.22484,0.17598,1.24395,1.51541,1.3325,3.38428e-05,3.38428e-05,3.38428e-05
54,4311.94,0.96176,0.94165,1.11473,0.65364,0.20121,0.22684,0.18087,1.23535,1.51528,1.33781,3.35907e-05,3.35907e-05,3.35907e-05
55,4357.29,0.94681,0.90909,1.09958,0.61171,0.21024,0.23421,0.18754,1.20867,1.49665,1.32721,3.33387e-05,3.33387e-05,3.33387e-05
56,4468.39,0.95096,0.934,1.12061,0.58981,0.20685,0.23399,0.18676,1.2137,1.44208,1.31925,3.30866e-05,3.30866e-05,3.30866e-05
57,4583.39,0.9535,0.92994,1.11118,0.70664,0.19815,0.23255,0.18781,1.21412,1.49398,1.32117,3.28346e-05,3.28346e-05,3.28346e-05
